Title,Item Description,Hyperlink
Cats,1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.,"<a href=""https://www.loc.gov/item/2004670356/"" rel=""http://www.loc.gov/item/2004670356/"">
        

        

        
            
                
                    Cats
                
            
        

        
        
        </a>"
[Cat],1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.,"<a href=""https://www.loc.gov/item/2005678556/"" rel=""http://www.loc.gov/item/2005678556/"">
        

        

        
            
                
                    [Cat]
                
            
        

        
        
        </a>"
[Cats],1 negative : glass ; 4 x 5 in. or smaller,"<a href=""https://www.loc.gov/item/2016892680/"" rel=""http://www.loc.gov/item/2016892680/"">
        

        

        
            
                
                    [Cats]
                
            
        

        
        
        </a>"
[Cats],1 negative : glass ; 4 x 5 in. or smaller,"<a href=""https://www.loc.gov/item/2016890324/"" rel=""http://www.loc.gov/item/2016890324/"">
        

        

        
            
                
                    [Cats]
                
            
        

        
        
        </a>"
[Cat],"1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2.","<a href=""https://www.loc.gov/item/2018662113/"" rel=""http://www.loc.gov/item/2018662113/"">
        

        

        
            
                
                    [Cat]
                
            
        

        
        
        </a>"
[Cat],"1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4.","<a href=""https://www.loc.gov/item/2018662115/"" rel=""http://www.loc.gov/item/2018662115/"">
        

        

        
            
                
                    [Cat]
                
            
        

        
        
        </a>"
Cat,1 print : col. etching ; 35.3 x 25.3 cm.,"<a href=""https://www.loc.gov/item/2003665736/"" rel=""http://www.loc.gov/item/2003665736/"">
        

        

        
            
                
                    Cat
                
            
        

        
        
        </a>"
"Dandie; the tale of a yellow cat,",Also available in digital form.,"<a href=""https://www.loc.gov/item/25009935/"" rel=""http://www.loc.gov/item/25009935/"">
        

        

        
            
                
                    Dandie; the tale of a yellow cat,
                
            
        

        
        
        </a>"
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,",Also available in digital form.,"<a href=""https://www.loc.gov/item/agr03000916/"" rel=""http://www.loc.gov/item/agr03000916/"">
        

        

        
            
                
                    The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,
                
            
        

        
        
        </a>"
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,",Also available in digital form.,"<a href=""https://www.loc.gov/item/10002159/"" rel=""http://www.loc.gov/item/10002159/"">
        

        

        
            
                
                    Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,
                
            
        

        
        
        </a>"
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.",Also available in digital form.,"<a href=""https://www.loc.gov/item/agr16000378/"" rel=""http://www.loc.gov/item/agr16000378/"">
        

        

        
            
                
                    ... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.
                
            
        

        
        
        </a>"
"Pussy and her language,",Also available in digital form.,"<a href=""https://www.loc.gov/item/04029271/"" rel=""http://www.loc.gov/item/04029271/"">
        

        

        
            
                
                    Pussy and her language,
                
            
        

        
        
        </a>"
John B. Moisant,"1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)","<a href=""https://www.loc.gov/item/2004671743/"" rel=""http://www.loc.gov/item/2004671743/"">
        

        

        
            
                
                    John B. Moisant
                
            
        

        
        
        </a>"
The nomad of the nine lives,Also available in digital form on the Library of Congress Web site.,"<a href=""https://www.loc.gov/item/14000113/"" rel=""http://www.loc.gov/item/14000113/"">
        

        

        
            
                
                    The nomad of the nine lives
                
            
        

        
        
        </a>"
Cat show,"28 photographic prints (contact sheets). | Photographs of cats, women, and a few men and children participating in the Garden State Cat Club's 15th annual show, held December 1-2, 1953, at the Wideaway Hall in Newark, N.J., for more than 300 cats from the United States, Canada, and Europe. Includes owners grooming cats; judges examining cats; owners holding cats with award ribbons; and people...","<a href=""https://www.loc.gov/item/2016721953/"" rel=""http://www.loc.gov/item/2016721953/"">
        

        

        
            
                
                    Cat show
                
            
        

        
        
        </a>"
The Cat,1 photomechanical print : photogravure.,"<a href=""https://www.loc.gov/item/90710537/"" rel=""http://www.loc.gov/item/90710537/"">
        

        

        
            
                
                    The Cat
                
            
        

        
        
        </a>"
[A cat],1 drawing : pencil.,"<a href=""https://www.loc.gov/item/2010718352/"" rel=""http://www.loc.gov/item/2010718352/"">
        

        

        
            
                
                    [A cat]
                
            
        

        
        
        </a>"
Domestic cat,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left.","<a href=""https://www.loc.gov/item/2009630098/"" rel=""http://www.loc.gov/item/2009630098/"">
        

        

        
            
                
                    Domestic cat
                
            
        

        
        
        </a>"
[Two cats],1 print (poster) : color.,"<a href=""https://www.loc.gov/item/94509814/"" rel=""http://www.loc.gov/item/94509814/"">
        

        

        
            
                
                    [Two cats]
                
            
        

        
        
        </a>"
Black cat,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.,"<a href=""https://www.loc.gov/item/2017658972/"" rel=""http://www.loc.gov/item/2017658972/"">
        

        

        
            
                
                    Black cat
                
            
        

        
        
        </a>"
[Domestic cat],"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)","<a href=""https://www.loc.gov/item/2009630118/"" rel=""http://www.loc.gov/item/2009630118/"">
        

        

        
            
                
                    [Domestic cat]
                
            
        

        
        
        </a>"
"""Nervous Cats""",1 drawing.,"<a href=""https://www.loc.gov/item/2012631796/"" rel=""http://www.loc.gov/item/2012631796/"">
        

        

        
            
                
                    ""Nervous Cats""
                
            
        

        
        
        </a>"
Fat cat,1 drawing.,"<a href=""https://www.loc.gov/item/2012633951/"" rel=""http://www.loc.gov/item/2012633951/"">
        

        

        
            
                
                    Fat cat
                
            
        

        
        
        </a>"
"Poem 061:
        

        
            
                
                    
                    Sister Cat",,"<a href=""https://www.loc.gov/item/poetry-180-061/sister-cat/"" rel=""http://www.loc.gov/item/poetry-180-061/sister-cat/"">
        

        
            Poem 061:
        

        
            
                
                    
                    Sister Cat
                    
                
            
        

        
        
        </a>"
"Poem 116:
        

        
            
                
                    
                    Cat Scat",,"<a href=""https://www.loc.gov/item/poetry-180-116/cat-scat/"" rel=""http://www.loc.gov/item/poetry-180-116/cat-scat/"">
        

        
            Poem 116:
        

        
            
                
                    
                    Cat Scat
                    
                
            
        

        
        
        </a>"
Nashville Cats!,"According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads […]","<a href=""https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/"" rel="""" target=""_blank"">
        

        

        
            
                
                    
                    Nashville Cats!
                    
                
            
        

        
        
        </a>"
"Schrödinger's cat
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",No data listed,"<a href=""//lccn.loc.gov/2016218557"" rel=""http://www.loc.gov/item/2016218557/"" target=""_blank"">
        

        

        
            
                
                    Schrödinger's cat
                
            
        

        
        
        </a>"
"""Cat"" Hat",No data listed,"<a href=""https://www.loc.gov/item/ncr002272/"" rel=""http://www.loc.gov/item/ncr002272/ http://www.loc.gov/item/afc1991021.afc1991021_48045/"">
        

        

        
            
                
                    ""Cat"" Hat
                
            
        

        
        
        </a>"
Cat song,sheet music | 1 score | Sheet Music (Form).,"<a href=""https://www.loc.gov/item/ihas.100008567/"" rel=""http://www.loc.gov/item/ihas.100008567/ http://www.loc.gov/item/ihas.100008567"">
        

        

        
            
                
                    Cat song
                
            
        

        
        
        </a>"
Cat song,sheet music | 1 score | Sheet Music (Form).,"<a href=""https://www.loc.gov/item/ihas.100009959/"" rel=""http://www.loc.gov/item/ihas.100009959/ http://www.loc.gov/item/ihas.100009959"">
        

        

        
            
                
                    Cat song
                
            
        

        
        
        </a>"
Whose Cat,"Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,...","<a href=""https://www.loc.gov/item/musftpphotoprints.200223581/"" rel=""http://www.loc.gov/item/musftpphotoprints.200223581/ http://www.loc.gov/item/musftpphotoprints.200223581"">
        

        

        
            
                
                    Whose Cat
                
            
        

        
        
        </a>"
Cat family,1 print.,"<a href=""https://www.loc.gov/item/2003689307/"" rel=""http://www.loc.gov/item/2003689307/"">
        

        

        
            
                
                    Cat family
                
            
        

        
        
        </a>"
"""Naughty cat!""",1 print : lithograph.,"<a href=""https://www.loc.gov/item/2002710641/"" rel=""http://www.loc.gov/item/2002710641/"">
        

        

        
            
                
                    ""Naughty cat!""
                
            
        

        
        
        </a>"
Emmons cat,1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016694116/"" rel=""http://www.loc.gov/item/2016694116/"">
        

        

        
            
                
                    Emmons cat
                
            
        

        
        
        </a>"
Emmons cat,1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016694117/"" rel=""http://www.loc.gov/item/2016694117/"">
        

        

        
            
                
                    Emmons cat
                
            
        

        
        
        </a>"
Emmons cat,1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016694119/"" rel=""http://www.loc.gov/item/2016694119/"">
        

        

        
            
                
                    Emmons cat
                
            
        

        
        
        </a>"
Emmons [cat],1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016694121/"" rel=""http://www.loc.gov/item/2016694121/"">
        

        

        
            
                
                    Emmons [cat]
                
            
        

        
        
        </a>"
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016712990/"" rel=""http://www.loc.gov/item/2016712990/"">
        

        

        
            
                
                    Miscellaneous [cat]
                
            
        

        
        
        </a>"
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016712994/"" rel=""http://www.loc.gov/item/2016712994/"">
        

        

        
            
                
                    Miscellaneous [cat]
                
            
        

        
        
        </a>"
Miscellaneous [cat],1 negative : glass ; 5 x 7 in.,"<a href=""https://www.loc.gov/item/2016712995/"" rel=""http://www.loc.gov/item/2016712995/"">
        

        

        
            
                
                    Miscellaneous [cat]
                
            
        

        
        
        </a>"
Pussy cats,Notated Music. From: Airs and graces. Staff notation. (Language).,"<a href=""https://www.loc.gov/item/2016732576/"" rel=""http://www.loc.gov/item/2016732576/ http://www.loc.gov/item/musm1508.10074848/ http://www.loc.gov/item/2016732576"">
        

        

        
            
                
                    Pussy cats
                
            
        

        
        
        </a>"
Calamity cat,"1 print : etching, aquatint, and mezzotint ; 20 x 13 cm.","<a href=""https://www.loc.gov/item/2006691519/"" rel=""http://www.loc.gov/item/2006691519/"">
        

        

        
            
                
                    Calamity cat
                
            
        

        
        
        </a>"
Cat's cradle,"1 print : serigraph, col.","<a href=""https://www.loc.gov/item/2002719209/"" rel=""http://www.loc.gov/item/2002719209/"">
        

        

        
            
                
                    Cat's cradle
                
            
        

        
        
        </a>"
Cat song,"Notated Music. From: The Wager, or, The masked ball : The Masked ball. Staff notation. (Language).","<a href=""https://www.loc.gov/item/2016740302/"" rel=""http://www.loc.gov/item/2016740302/ http://www.loc.gov/item/musm1508.10061874/ http://www.loc.gov/item/2016740302"">
        

        

        
            
                
                    Cat song
                
            
        

        
        
        </a>"
